Column1,Product_Name,Product_Description,Product_Reviews,Product_Price,RAM_(GB),ROM_(GB),Display_Size_(inch),Battery_(mAh),Brand
37,"Honor 200 Pro 5G (Black, 512 GB)",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,3.9,39999,12,512,6.78,5200,Honor
38,"Samsung Galaxy S23 5G (Phantom Black, 256 GB)",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6,49999,8,256,6.1,3900,Samsung
39,"Google Pixel 8a (Obsidian, 128 GB)",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3,37999,8,128,6.1,4404,Google
40,"OnePlus 11R 5G (Galactic Silver, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessories,4.5,36899,8,128,6.7,5000,OnePlus
41,"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,48999,12,256,6.6,5000,Samsung
42,"Samsung Galaxy S23 5G (Green, 256 GB)",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6,49999,8,256,6.1,3900,Samsung
43,"Samsung Galaxy S23 5G (Phantom Black, 128 GB)",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6,44999,8,128,6.1,3900,Samsung
44,"realme Gt 7 (Icesense Black, 512 GB)","12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryDimensity ProcessorPhone, Power Adapter, SIM Tray Ejector, Phone Case, USB Cable",4.8,48999,12,512,6.78,7000,realme
45,"vivo V30 Pro 5G (Classic Black, 512 GB)",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5,39999,12,512,6.78,5000,vivo
46,"OnePlus 12R (Iron Gray, 128 GB)",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty,4.5,36999,8,128,6.78,5500,OnePlus
47,"Samsung Galaxy A55 5G (Awesome Navy, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4,25884,8,128,6.6,5000,Samsung
48,"IQOO Neo 10 (Titanium Chrome, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6months for accessories,4.5,35990,8,256,6.78,7000,IQOO
49,"Samsung Galaxy S23 FE (Graphite, 128 GB)",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4,44999,8,128,6.4,4500,Samsung
